scraped_name;full_name;health_news_name;year;speciality;sub_speciality;experience;languages;city_state;patient_experience;url;journal;query
Manesis, Konstantinos;Konstantinos Manesis;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://www.sciencedirect.com/science/article/pii/S2210261218303341;True;International journal of surgery case reports;whipple procedure
Nikou, Efstathios;Efstathios Nikou;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://www.sciencedirect.com/science/article/pii/S2210261218303341;True;International journal of surgery case reports;whipple procedure
Zaravinos, Spiridon;Spiridon Zaravinos;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://www.sciencedirect.com/science/article/pii/S2210261218303341;True;International journal of surgery case reports;whipple procedure
Bouboulis, Petros;Petros Bouboulis;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://www.sciencedirect.com/science/article/pii/S2210261218303341;True;International journal of surgery case reports;whipple procedure
Oikonomou, Christianna;Christianna Oikonomou;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://www.sciencedirect.com/science/article/pii/S2210261218303341;True;International journal of surgery case reports;whipple procedure
Kalliouris, Dimitrios N;Dimitrios N Kalliouris;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://www.sciencedirect.com/science/article/pii/S2210261218303341;True;International journal of surgery case reports;whipple procedure
Filippou, Dimitrios;Dimitrios Filippou;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://www.sciencedirect.com/science/article/pii/S2210261218303341;True;International journal of surgery case reports;whipple procedure
Skandalakis, Panagiotis;Panagiotis Skandalakis;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://www.sciencedirect.com/science/article/pii/S2210261218303341;True;International journal of surgery case reports;whipple procedure
Alkattan, Ammar;Ammar Alkattan;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://pdfs.semanticscholar.org/2438/06f15af392c31e47d3e98ff4a45d98b9c383.pdf;True;EC Gastroenterology and Digestive System;whipple procedure
Oca{\~n}a, J Jim{\'e}nez;J Jim{\'e}nez Oca{\~n}a;unknown;2019;unknown;unknown;unknown;unknown;unknown;unknown;https://europepmc.org/abstract/med/31257898;True;Revista espanola de enfermedades digestivas: organo oficial de la Sociedad Espanola de Patologia Digestiva;whipple procedure
