scraped_name;full_name;health_news_name;year;speciality;sub_speciality;experience;languages;city_state;patient_experience;url 
J Otokwala;J Otokwala;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;http://www.ijaweb.org/article.asp?issn=0019-5049;year=2020;volume=64;issue=3;spage=216;epage=221;aulast=Udhayachandhar
PJ Korula…;Pritish J Korula;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;http://www.ijaweb.org/article.asp?issn=0019-5049;year=2020;volume=64;issue=3;spage=216;epage=221;aulast=Udhayachandhar
M Mehdorn;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://bmcsurg.biomedcentral.com/articles/10.1186/s12893-016-0169-7
TO Petersen;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://bmcsurg.biomedcentral.com/articles/10.1186/s12893-016-0169-7
M Bartels…;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://bmcsurg.biomedcentral.com/articles/10.1186/s12893-016-0169-7
E Emekli;Emre Emekli;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://ruj.uj.edu.pl/xmlui/handle/item/151641
E Gündoğdu;Elif Gündoğdu;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://ruj.uj.edu.pl/xmlui/handle/item/151641
R Dalla Valle;Raffaele Dalla;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://link.springer.com/article/10.1007/s13304-018-0513-9
M Rossini;Matteo Rossini;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://link.springer.com/article/10.1007/s13304-018-0513-9
L Lamecchi;Laura Lamecchi;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://link.springer.com/article/10.1007/s13304-018-0513-9
M Iaria;Maurizio Iaria;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://link.springer.com/article/10.1007/s13304-018-0513-9
IR Raza Sayyed;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.researchgate.net/profile/Raza_Sayyed/publication/304860759_Resection-Reconstruction_of_Aberrant_Right_Hepatic_Artery_During_Whipple_Procedure_Pancreaticoduodenectomy/links/5788f2e608ae5c86c99ac961.pdf
IK Niazi;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.researchgate.net/profile/Raza_Sayyed/publication/304860759_Resection-Reconstruction_of_Aberrant_Right_Hepatic_Artery_During_Whipple_Procedure_Pancreaticoduodenectomy/links/5788f2e608ae5c86c99ac961.pdf
MA Yusuf;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.researchgate.net/profile/Raza_Sayyed/publication/304860759_Resection-Reconstruction_of_Aberrant_Right_Hepatic_Artery_During_Whipple_Procedure_Pancreaticoduodenectomy/links/5788f2e608ae5c86c99ac961.pdf
AA Syed;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.researchgate.net/profile/Raza_Sayyed/publication/304860759_Resection-Reconstruction_of_Aberrant_Right_Hepatic_Artery_During_Whipple_Procedure_Pancreaticoduodenectomy/links/5788f2e608ae5c86c99ac961.pdf
F Hanif;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.researchgate.net/profile/Raza_Sayyed/publication/304860759_Resection-Reconstruction_of_Aberrant_Right_Hepatic_Artery_During_Whipple_Procedure_Pancreaticoduodenectomy/links/5788f2e608ae5c86c99ac961.pdf
K Manesis;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.sciencedirect.com/science/article/pii/S2210261218303341
E Nikou;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.sciencedirect.com/science/article/pii/S2210261218303341
S Zaravinos;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.sciencedirect.com/science/article/pii/S2210261218303341
P Bouboulis…;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.sciencedirect.com/science/article/pii/S2210261218303341
JJ Ocaña;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://europepmc.org/abstract/med/31257898
AB López;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://europepmc.org/abstract/med/31257898
JVG Nuño;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://europepmc.org/abstract/med/31257898
