scraped_name;full_name;health_news_name;year;speciality;sub_speciality;experience;languages;city_state;patient_experience;url 
BJ Allan;Bassan J. Allan;Dr. Bassan J. Allan;unknown;General Surgery;General Surgery, Hepatobiliary Surgery, Surgical Oncology (Other than Breast);6-10;English;Fort Myers, FL;unknown;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5803130/
SM Novak;Stephanie M. Novak;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5803130/
ME Hogg…;Melissa E. Hogg;Dr. Melissa E. Hogg;unknown;General Surgery;General Surgery, Hepatobiliary Surgery, Surgical Oncology (Other than Breast);11-20;English;Evanston, IL;unknown;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5803130/
KA Zorbas;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.hpbonline.org/article/S1365-182X(18)30406-4/abstract
A Karachristos;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.hpbonline.org/article/S1365-182X(18)30406-4/abstract
SAM Karim;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.sciencedirect.com/science/article/pii/S174391911830520X
KS Abdulla;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.sciencedirect.com/science/article/pii/S174391911830520X
QH Abdulkarim…;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.sciencedirect.com/science/article/pii/S174391911830520X
G Dapri;Giovanni Dapri;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://link.springer.com/article/10.1245/s10434-017-5944-x
NA Bascombe;Nigel Antonio Bascombe;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://link.springer.com/article/10.1245/s10434-017-5944-x
L Gerard;Leonardo Gerard;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://link.springer.com/article/10.1245/s10434-017-5944-x
CS Ballart…;Carla Samaniego Ballart;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://link.springer.com/article/10.1245/s10434-017-5944-x
HG Beger;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.sciencedirect.com/science/article/pii/S1365182X20300034
B Mayer;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.sciencedirect.com/science/article/pii/S1365182X20300034
B Poch;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;unknown;https://www.sciencedirect.com/science/article/pii/S1365182X20300034
